name,element,title,image_url
"Chasca","Anemo","Skyborne Arbiter","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Chasca.png"

"Chevreuse","Pyro","Executor of Justice","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Chevreuse.png"

"Chiori","Geo","The Thundering Seamstress","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Chiori.png"

"Chongyun","Cryo","Frozen Ardor","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Chongyun.png"

"Citlali","Cryo","Obsidian Opalstar","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Citlali.png"

"Clorinde","Electro","Candlebearer, Shadowhunter","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Clorinde.png"

"Collei","Dendro","Sprout of Rebirth","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Collei.png"

"Columbina","Hydro","Welkin Moon's Homecoming","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Columbina.png"

"Cyno","Electro","Judicator of Secrets","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Cyno.png"

"Dahlia","Hydro","Ode and Oblation","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Dahlia.png"

"Dehya","Pyro","Flame-Mane","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Dehya.png"

"Diluc","Pyro","Dark Side of Dawn","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Diluc.png"

"Diona","Cryo","Kätzlein Cocktail","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Diona.png"

"Dori","Electro","Treasure of Dream Garden","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Dori.png"

"Durin","Pyro","""The Undying Fire""","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Durin.png"

"Emilie","Dendro","A Thousand Scents Traced","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Emilie.png"

"Escoffier","Cryo","Tasteful Excellence","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Escoffier.png"

"Eula","Cryo","Dance of the Shimmering Wave","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Eula.png"

"Faruzan","Anemo","Enigmatic Machinist","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Faruzan.png"

"Fischl","Electro","Prinzessin der Verurteilung!","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Fischl.png"

"Flins","Electro","Shadowy Lights, Stranger Wights","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Flins.png"

"Freminet","Cryo","Yearning for Unseen Depths","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Freminet.png"

"Furina","Hydro","Endless Solo of Solitude","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Furina.png"

"Gaming","Pyro","Leonine Vanguard","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Gaming.png"

"Ganyu","Cryo","Plenilune Gaze","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Ganyu.png"

"Gorou","Geo","Canine Warrior","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Gorou.png"

"Hu Tao","Pyro","Fragrance in Thaw","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Hutao.png"

"Iansan","Electro","Tempered in Molten Stone","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Iansan.png"

"Ifa","Anemo","In the Wake of Wandering Winds","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Ifa.png"

"Illuga","Geo","Nightmare's Burning Heart","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Illuga.png"

"Ineffa","Electro","Boom Boom Thunderwave","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Ineffa.png"

"Jahoda","Anemo","Windthreading Shadow","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Jahoda.png"

"Jean","Anemo","Dandelion Knight","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Qin.png"

"Kachina","Geo","Mottled Gold Yet Unsmelted","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Kachina.png"

"Kaedehara Kazuha","Anemo","Scarlet Leaves Pursue Wild Waves","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Kazuha.png"

"Kaeya","Cryo","Frostwind Swordsman","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Kaeya.png"

"Kamisato Ayaka","Cryo","Frostflake Heron","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Ayaka.png"

"Kamisato Ayato","Hydro","Pillar of Fortitude","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Ayato.png"

"Kaveh","Dendro","Empyrean Reflection","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Kaveh.png"

"Keqing","Electro","Driving Thunder","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Keqing.png"

"Kinich","Dendro","Turnfire Hunt","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Kinich.png"

"Kirara","Dendro","Cat Upon the Eaves","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Momoka.png"

"Klee","Pyro","Fleeing Sunlight","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Klee.png"

"Kujou Sara","Electro","Crowfeather Kaburaya","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Sara.png"

"Kuki Shinobu","Electro","Mender of Tribulations","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Shinobu.png"

"Lan Yan","Anemo","Spring Woven From Jade","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Lanyan.png"

"Lauma","Dendro","Evermoon's Sacrament Song","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Lauma.png"

"Layla","Cryo","Fantastical Evening Star","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Layla.png"

"Linnea","Geo","Augur of Wonders","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Linnea.png"

"Lisa","Electro","Witch of Purple Rose","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Lisa.png"

"Lohen","Cryo","Sharpened Arrowhead","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Lohen.png"

"Lumine","Viajante","Viajante de outro mundo","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_PlayerGirl.png"

"Lynette","Anemo","Elegance in the Shadows","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Linette.png"

"Lyney","Pyro","Spectacle of Phantasmagoria","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Liney.png"

"Manekin","Viajante","Viajante de outro mundo","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_MannequinBoy.png"

"Manekina","Viajante","Viajante de outro mundo","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_MannequinGirl.png"

"Mavuika","Pyro","Night-Igniting Flame","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Mavuika.png"

"Mika","Cryo","Coordinates of Clear Frost","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Mika.png"

"Mona","Hydro","Astral Reflection","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Mona.png"

"Mualani","Hydro","Splish-Splash Wavechaser","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Mualani.png"

"Nahida","Dendro","Physic of Purity","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Nahida.png"

"Navia","Geo","Helm of the Radiant Rose","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Navia.png"

"Nefer","Dendro","Secret Beneath the Sands","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Nefer.png"

"Neuvillette","Hydro","Ordainer of Inexorable Judgment","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Neuvillette.png"

"Nicole","Pyro","Clamor Within","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Nicole.png"

"Nilou","Hydro","Dance of Lotuslight","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Nilou.png"

"Ningguang","Geo","Eclipsing Star","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Ningguang.png"

"Noelle","Geo","Chivalric Blossom","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Noel.png"

"Odette","Cryo","Swirling Snow","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Odette.png"

"Ororon","Electro","Shadow of the Night-Wind","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Olorun.png"

"Prune","Anemo","Childlike Dreams Cherished","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Prune.png"

"Qiqi","Cryo","Icy Resurrection","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Qiqi.png"

"Raiden Shogun","Electro","Plane of Euthymia","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Shougun.png"

"Razor","Electro","Wolf Boy","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Razor.png"

"Rosaria","Cryo","Thorny Benevolence","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Rosaria.png"

"Sandrone","Cryo","Mirrored Analysis","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_MarionetteNew.png"

"Sangonomiya Kokomi","Hydro","Pearl of Wisdom","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Kokomi.png"

"Sayu","Anemo","Mujina Ninja","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Sayu.png"

"Sethos","Electro","Wisdom's Measure","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Sethos.png"

"Shenhe","Cryo","Lonesome Transcendence","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Shenhe.png"

"Shikanoin Heizou","Anemo","Analytical Harmony","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Heizo.png"

"Sigewinne","Hydro","Wondrous Dragonheir","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Sigewinne.png"

"Skirk","Cryo","Void Star","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_SkirkNew.png"

"Sucrose","Anemo","Harmless Sweetie","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Sucrose.png"

"Tartaglia","Hydro","Childe","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Tartaglia.png"

"Thoma","Pyro","Protector From Afar","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Tohma.png"

"Tighnari","Dendro","Verdant Strider","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Tighnari.png"

"Varesa","Electro","Strength in Serenity","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Varesa.png"

"Varka","Anemo","Knight of Boreas","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Varka.png"

"Venti","Anemo","Windborne Bard","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Venti.png"

"Wanderer","Anemo","Eons Adrift","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Wanderer.png"

"Wriothesley","Cryo","Emissary of Solitary Iniquity","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Wriothesley.png"

"Xiangling","Pyro","Exquisite Delicacy","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Xiangling.png"

"Xianyun","Anemo","Passerine Herald","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Liuyun.png"

"Xiao","Anemo","Vigilant Yaksha","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Xiao.png"

"Xilonen","Geo","Ardent Flames Forge the Soul","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Xilonen.png"

"Xingqiu","Hydro","Juvenile Galant","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Xingqiu.png"

"Xinyan","Pyro","Blazing Riff","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Xinyan.png"

"Yae Miko","Electro","Astute Amusement","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Yae.png"

"Yanfei","Pyro","Wise Innocence","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Feiyan.png"

"Yaoyao","Dendro","Burgeoning Grace","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Yaoyao.png"

"Yelan","Hydro","Valley Orchid","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Yelan.png"

"Yoimiya","Pyro","Frolicking Flames","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Yoimiya.png"

"Yumemizuki Mizuki","Anemo","Embrace of Enchanting Dreams","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Mizuki.png"

"Yun Jin","Geo","Stage Lucida","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Yunjin.png"

"Zhongli","Geo","Vago Mundo","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Zhongli.png"

"Zibai","Geo","White Horse's Fleeting Spring","https://upload-os-bbs.mihoyo.com/game_record/genshin/character_icon/UI_AvatarIcon_Zibai.png"
